identifier,group,major_group,sub_group,membran_prediction,seq_start,number_cysteines,x_umap_2D,mature_multimere_pred,full_multimere_pred,Dimeric,y_umap_2D,x_umap_3D,y_umap_3D,z_umap_3D,x_pca_3D,y_pca_3D,z_pca_3D,variance,x_tsne_2D,y_tsne_2D,x_tsne_3D,y_tsne_3D,z_tsne_3D
None|Xetr_1|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAA,10.0,-2.7295766,1,2.0,False,6.3512254,-2.9726562,5.4777236,-0.44599736,0.9102986318163646,0.0880352237362166,0.5544162796653067,,52.212505,26.610628,20.41041,-6.954937,-2.3342974
None|Xetr_2|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Secreted,MQC,11.0,1.979985,1,1.0,False,11.303623,4.5178657,10.261837,-0.689526,0.6255222674860977,-0.168230587370036,0.3982109619527283,,-32.24708,-25.018984,13.141735,-6.345904,-4.8027444
None|Xetr_3|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,,8.0,-3.7550201,2,,False,6.9744177,-3.261494,5.4864187,0.4519926,1.0215824331027945,-0.0256766845682503,0.5146072067965736,,42.92299,32.707558,19.584486,-3.962268,0.2865925
None|Xetr_5|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAD,10.0,-2.3302236,2,2.0,False,6.1149306,-3.252953,5.398792,-1.0205817,0.9684023646008122,0.2665306009980623,0.5896452198046401,,53.58906,26.918688,20.992245,-8.361111,-2.8059127
None|Xetr_6|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MSP,10.0,-2.5125942,2,2.0,False,6.0872064,-3.04244,5.2079086,-0.78032106,0.9437187722628624,0.1296127832051191,0.551321867642517,,52.264877,26.732132,20.514618,-7.0750957,-2.3138366
None|Xetr_7|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,MAT,10.0,-2.359487,2,2.0,False,6.3260717,-3.086726,5.4903336,-0.6486639,0.8770541168292982,0.0236509120070247,0.5503234314393612,,53.29021,26.46121,20.290903,-8.511743,-2.271989
None|Xetr_8|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Membrane,,10.0,-2.4337044,2,,False,5.9149737,-3.356043,5.236933,-0.94790226,0.91021754243507,0.2037165459429572,0.5548383735314769,,53.676388,27.138062,21.25678,-8.50818,-2.654379
None|Xetr_9|Xenopus_tropicalis,GPIHBP1,Ly-6,GPIHBP1,Membrane,,10.0,-2.686329,1,,False,5.9453077,-3.0577796,5.183228,-0.83053046,0.9528150657196977,0.1054650042509883,0.3920361161423305,,52.225594,28.954933,22.232862,-7.107129,-1.195872
None|Xetr4|Xenopus_tropicalis,frog Ly6,Ly-6,frog Ly6,Secreted,MQC,12.0,6.4660907,1,1.0,False,12.172394,6.1063685,8.029885,1.797736,0.45796915064997,-0.1004192832485696,0.2212750940341357,,-26.820438,7.9390388,9.614018,1.0478038,2.1081896
None|Hosa_13|Homo_sapiens,Ly6L,Ly-6,Ly6L,Membrane,MER,10.0,-4.5126953,4,4.0,False,7.180667,-3.5651064,5.7001524,0.8216729,1.068647233239449,0.0649350838360585,0.1375518945078104,,42.828648,37.557213,22.286755,-0.46149066,1.4194742
SP|O43653|Homo_sapiens,PSCA,Ly-6,PSCA,Membrane,MAG,10.0,-4.509583,4,4.0,False,6.992927,-3.7861888,5.748784,0.7314446,1.0827330662374586,0.1394123180500514,0.2839466091192927,,43.45271,36.77752,22.88627,-1.1945143,0.43244842
SP|O94772|Homo_sapiens,Ly6H,Ly-6,Ly6H,Membrane,MLP,10.0,-4.6782618,4,4.0,False,7.0281963,-3.7645688,5.779043,0.7759114,1.1729918022006431,-0.0706085854545378,0.307166017856517,,43.74705,37.27616,23.167309,-1.246346,1.3396405
SP|P0DP57|Homo_sapiens,SLURP2,Ly-6,SLURP2,Secreted,MQL,10.0,4.289088,2,2.0,False,12.351973,4.564776,7.423552,0.6114026,0.707197462414179,0.1224962002625405,-0.1713553491226753,,-39.122208,22.946884,14.348168,8.9637,4.4643044
SP|P0DP58|Homo_sapiens,LYNX1,Ly-6,LYNX1,Membrane,MTP,10.0,-4.108895,2,2.0,False,6.4567943,-3.5990293,5.4322057,0.2125505,1.0270702048627032,0.0306054831359444,0.2894966946627983,,45.243828,34.942978,23.076353,-3.9053035,-0.041086584
SP|P55000|Homo_sapiens,SLURP1,Ly-6,SLURP1,Secreted,MAS,10.0,4.22714,2,2.0,False,12.246912,4.3351865,7.5767713,0.5476952,0.7166719857548385,0.0726153752536491,-0.0765177645573854,,-39.863083,22.501572,13.616176,8.180547,4.193601
SP|Q14210|Homo_sapiens,Ly6D,Ly-6,Ly6D,Membrane,MRT,10.0,-4.003307,4,4.0,False,6.9656615,-3.2720933,5.7985373,0.5422163,1.0550604280612483,-0.0966893021814266,0.4282562045267877,,42.65539,35.29877,21.266544,-2.7562213,-0.41077736
SP|Q16553|Homo_sapiens,Ly6E,Ly-6,Ly6E,Membrane,MKI,10.0,-4.1753707,2,2.0,False,6.4920053,-3.8484726,5.5710526,0.12593825,1.1661463888982118,0.277202187555271,0.3393771261721372,,44.8027,36.84728,24.226263,-1.7687516,0.17930539
SP|Q17RY6-2|Homo_sapiens,Ly6K,Ly-6,Ly6K,Secreted,,6.0,1.627108,2,,False,11.730981,4.2746835,9.409145,-1.3061695,0.771755016021866,-0.3154882005560615,-0.1159537192324759,,-50.163925,1.8264989,18.160519,4.5614634,-2.7748873
SP|Q6UXB3|Homo_sapiens,LYPD2,Ly-6,LYPD2,Membrane,MRG,11.0,-4.912519,2,2.0,False,6.174473,-4.203296,4.9885893,0.973114,1.0308992006391955,-0.0247341246479193,0.2936524648899221,,47.664978,38.33343,26.10334,-2.5388873,3.0057383
SP|Q8IV16|Homo_sapiens,GPIHBP1,Ly-6,GPIHBP1,Membrane,MKA,10.0,-4.510535,4,4.0,False,6.9436812,-3.606332,5.3989143,1.0067067,1.0550681774452717,-0.3130899567335922,0.1581116364512435,,44.198208,39.658016,23.021599,-0.46305868,3.8869557
None|Phci_11|Phascolarctos_cinereus,Ly6K,Ly-6,Ly6K,Membrane,,11.0,-3.3974326,4,,False,5.9003763,-3.227232,4.6121845,-0.14645106,1.0021860316191111,0.0264404103920016,0.2720444821891301,,49.668755,30.956036,22.794456,-10.066386,2.4431007
None|Phci_13|Phascolarctos_cinereus,Ly6K,Ly-6,Ly6K,Membrane,MKV,11.0,-4.126277,2,2.0,False,6.6286435,-3.4161618,5.049808,0.62269884,0.9565756490370756,-0.0921402756602857,0.3089361365565468,,46.34844,33.85558,19.27532,-4.594572,2.2804587
None|Phci_14|Phascolarctos_cinereus,Ly6E,Ly-6,Ly6E,Membrane,MKV,10.0,-3.736909,2,2.0,False,6.643234,-3.1869564,5.2609763,0.16616847,1.0101552648316032,0.0638638422401094,0.2730531839273176,,44.93116,32.829014,22.05067,-4.2792015,1.7112098
None|Phci_15|Phascolarctos_cinereus,Ly6H,Ly-6,Ly6H,Membrane,MPR,10.0,-3.427785,2,2.0,False,6.596217,-2.8905907,4.968816,0.2751874,0.964411586369833,-0.0674342472805411,0.3481479754735276,,45.456436,30.949585,19.720196,-5.23577,4.234677
None|Phci_16|Phascolarctos_cinereus,Ly6H,Ly-6,Ly6H,Membrane,MKI,10.0,-3.9879615,4,2.0,False,6.947369,-3.4078863,5.7636943,0.29896027,1.0947210220580483,0.0790893285145844,0.3914874248623259,,43.790894,34.45818,21.74705,-2.6553392,1.3598369
None|Phci_17|Phascolarctos_cinereus,GPIHBP1,Ly-6,GPIHBP1,Membrane,,12.0,-3.466948,1,,False,6.7178125,-2.7886057,4.5675406,0.28786957,0.9412565967261052,-0.179883699256747,0.3048516921003764,,45.91977,29.444548,20.59953,-7.0546517,5.114324
None|Phci_2|Phascolarctos_cinereus,SLURP1,Ly-6,SLURP1,Membrane,MGT,10.0,-4.7223854,2,2.0,False,6.3765903,-3.990092,4.98601,0.85124844,1.0420373769248306,-0.0396392116584976,0.2635563873142749,,47.25876,38.295433,25.524176,-2.1474967,3.1726916
